Timestamp,WereYouEligibleToApplyForAnAugust2021St3Post,WhatIsYourAge,WhatIsYourSex,WhichRegionAreYouCurrentlyWorkingIn,WhatIsYourCurrentRole,HowManyYearsOfClinicalExperienceInAnaesthesiaWouldYouHaveCompletedByAugust2021,WhatIsYourCurrentContractedWorkingPattern,DidYouApplyForAnSt3AnaestheticsPostToCommenceInAugust2021,WereYouSuccessfulWithYourSt3ApplicationInThisApplicationRound,HaveYouAcceptedAnSt3AnaestheticsPostToCommenceInAugust2021,IfNotPleaseTellUsWhy,WhatWasYourReasonForNotApplying,AtTheTimeOfSt3ApplicationWereYouAwareOfThePlannedBreakInRecruitmentFromAugust2022,DidYouFeelTheEffectsOfCurriculumChangesOnRecruitmentWereWellExplainedToYouPriorToTheSt3ApplicationDeadline,WouldMoreInformationRegardingChangesToTheCurriculumAndRecruitmentHaveChangedYourDecisionNotToApply,WhatAreYourPotentialPlansForTheUpcoming1_2YearsSelectAllThatApply,DoYouFeelConfidentOrAssuredThatYouWillBeAbleToAchieveTheNecessaryCompetenciesToApplyForSt4InAugust2023,HasTheTimeOutOfATrainingProgrammeAffectedAnyOfYourWiderLifePlansEGMovingLocationFamilyPlanningBuyingAHouse,HowConfidentAreYouThatYouWillBeAbleToAchieveGmcRegistrationOnTheSpecialtyRegisterInAnaesthesiaWithoutATrainingNumber,WhatGeneralConcernsWouldYouLikeToShareWithUsRegardingThisYearsSt3ApplicationsIfThereAreSpecificPersonalCircumstancesYouAreHappyToShareWithTheRelevantStakeholdersPleaseFeelFreeToContributeThemHereWeMayPublishSomeOfTheseAsAnonymisedQuotesToConveyTheDepthOfFeelingAroundThisIssue,ID
2021-05-20T17:10:07Z,Yes,31-35,Female,Health Education East of England,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,CT3 top-up post,Yes,Yes,Not sure,"The relaxation of criteria regarding exams has negated the hard work that some of us have put into studying to pass the exams during COVID. Jobs have been given to trainees who have yet to complete the exam, a previous limiting factor to continuing training. Previously, these trainees would have had to take a year out to complete the exam. 
The bottle neck of applicants vs job availability is surely going to increase in size. There will be no jobs for 2 years, but extra applicants due to the addition of the current core trainees completing their core training.",195
2021-05-20T17:10:55Z,Yes,31-35,Male,Health Education Yorkshire and the Humber,"Non-training Fellow, SAS or other Trust-Grade post",9,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196
2021-05-20T17:11:17Z,Yes,25-30,Male,"Health Education Kent, Surrey & Sussex",Anaesthetic Core Trainee,2,LTFT,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",No,Yes,Not sure,NA,197
2021-05-20T17:11:33Z,Yes,31-35,Female,Health Education North East,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Career break",Don't know,Yes,Not confident,NA,198
2021-05-20T17:16:55Z,Yes,25-30,Male,Health Education North West (Mersey & North Western),Anaesthetic Core Trainee,2,Full-time,No,NA,NA,NA,"Wanted to pursue other interests or opportunities, e.g. research or management, etc.",Yes,No,Yes,"CT3 top-up post, Non-training fellow post, Work abroad",No,Don't know,Not confident,"I would like there to be clear guidance as to what we need to do for a CT3 equivalent year, along with access to the lifelong learning platform (or something like it) to evidence our training.",199
2021-05-20T17:17:36Z,Yes,31-35,Female,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Pursue training in a different specialty - specify below, Further education, e.g. pursue a higher degree, Career break, Permanently leaving the medical profession, Prehospital medicine, dermatology, GP, occupational health, clinical pathology, palliative care,  O&G, Emergency medicine",Yes,Yes,Not confident,"A lot of excellent candidates didn't get jobs. I feel the interview process was quite subjective with a large emphasis on global score, and only one panel with only one style of assessment rather than similar to previous format with multiple assessments (presentation, clinical etc). Every point makes a big difference in terms of ranking yet you can only dispute your self assessment score if the discrepancy was more than 5 points which doesn't make sense. The goalposts keep changing and I don't understand why people were allowed to apply without having completed the FRCA primary considering only one exam sitting was cancelled in the last year and there has still been ample opportunity to pass. Due to the self assessment criteria points decreasing after 24 months in complementary specialties (which I already have), I am now in the position of having to decide between doing something that I would enjoy and would be good for my learning and experience and make me a better anaesthetist (eg PICU/retrieval/prehospital) but decrease my self assessment criteria points and doing another job that I don't want to do such as ICU fellow posts with exhausting on calls which won't develop me as a clinician/anaesthetist but won't drop my points.
More clarity is required about the new curriculum, and about what the method of assessment will be for entry into ST4 for 2023.
There should be some extra ST3/st4 posts for august 2022 given the large number of trainees affected who are caught up in the middle. The discrepancy between CT1 post numbers and ST3 post numbers is absurd, further amplifying the bottleneck. This issue is only going to get worse year on year, especially if the new curriculum improves the attrition rate between core and registrar training as anticipated due to more trainees passing the exam in time to progress. It doesn't make sense that anaesthetics training doesn't have a run through option like emergency medicine training.",200
2021-05-20T17:24:27Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,It's getting to the point now where if I was an F2 applying for CT1 Anaes/ACCS I'd like to know each deanery's approach to ensuring their trainees get an ST3/4 job before I'd apply to that Deanery.,201
2021-05-20T17:26:56Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,We need to give create training spaces for these trainees,202
2021-05-20T17:32:05Z,Yes,25-30,Male,Health Education South West (Peninsula & Severn),Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,A constant shifting of the goal posts in very uncertain times.,203
2021-05-20T17:34:14Z,Yes,31-35,Male,Health Education East of England,Intensive Care Medicine Trainee,4,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,ICM ST3 post,No,Yes,Not confident,NA,204
2021-05-20T17:36:06Z,Yes,31-35,Female,"Health Education Kent, Surrey & Sussex","Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Career break",No,Yes,Not confident,NA,205
2021-05-20T17:36:18Z,Yes,31-35,Female,Health Education South West (Peninsula & Severn),Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Pursue training in a different specialty - specify below, Career break, Permanently leaving the medical profession",Don't know,Yes,Not sure,NA,206
2021-05-20T17:39:40Z,Yes,25-30,Female,Health Education North West (Mersey & North Western),Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",No,Yes,Not confident,No regard for trainees with the lack of recruitment in 2022. Leaving massive competition ratios for the next 3-4 years undoubtedly. In post covid core training. Really outrageous.,207
2021-05-20T17:39:41Z,Yes,25-30,Male,Health Education and Improvement Wales,Anaesthetic Core Trainee,3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This system currently has no recognition of clinical ability. There are no points for hard work, honesty and charity. 

The self assessment only rewards academic work. Academic work doesn't necessarily mean a good anaesthetist. 

International presentations don't make you a good anaesthetist etc. 

I got very lucky. 

The issue is across the board",208
2021-05-20T17:41:18Z,Yes,25-30,Female,Health Education Yorkshire and the Humber,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,No,NA,NA,NA,"Lack of core experience due to the COVID-19 pandemic, Awareness of increased competition ratios and/or reduced CV opportunities during COVID",Yes,No,Yes,Work abroad,No,Yes,Not confident,NA,209
2021-05-20T17:42:45Z,Yes,25-30,Male,Health Education West Midlands,"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Yes,Yes,Not confident,NA,210
2021-05-20T17:43:08Z,Yes,31-35,Female,Health Education South West (Peninsula & Severn),Anaesthetic Core Trainee,3,LTFT,Yes,No,NA,NA,NA,NA,NA,NA,CT3 top-up post,Yes,Yes,Not confident,"At the moment in the South West, there is a 10% deficit in Consultant staffing. Over the next 10 years this is projected to increase to 25% it hugely concerns me of the shortsightedness of the decision not to create many ST3 posts this year. Why demoralise a workforce who have already had a tough time with reassignment during Covid and the new curriculum, when in a few years time it's likely these people will be CCTing and needed to fill the gaps in Consultant posts.",211
2021-05-20T17:44:01Z,Yes,36-40,Male,"Health Education Kent, Surrey & Sussex","Non-training Fellow, SAS or other Trust-Grade post",10,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"Non-training fellow post, CESR",Don't know,Yes,Confident,"The selection process remains astonishingly demoralising, arbitrary,  and unimaginative, with little to distinguish between candidates actual merit or commitment to the specialty.  

How can someone respect an application system where a decision, taken at medical school, to intercalate, is awarded significant credit, but completion of the Final FRCA is awarded none?",212
2021-05-20T17:46:26Z,Yes,25-30,Male,Health Education London,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213
2021-05-20T17:47:15Z,Yes,25-30,Male,Health Education North East,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214
2021-05-20T17:48:02Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sudden change of core training plans. The plan changed from 2years to 3 years, back to 2 since starting core training. Unable to plan ahead, covid happened and unable to get exam in time. Not enough time to achieve goals or plans. Felt no choice but to give up trying for ST application.",215
2021-05-20T17:48:19Z,Yes,25-30,Male,Health Education North West (Mersey & North Western),Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216
2021-05-20T17:48:32Z,Yes,25-30,Female,Health Education London,Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Yes,Yes,Not confident,A lot of things to try and achieve which was difficult with working the pandemic. The system feels like it favours those with more experience and potentially time out of training to boost their cvs. Difficult as it has become more and more difficult year on year to apply for st3 with no increase in numbers.,217
2021-05-20T17:51:27Z,Yes,31-35,Male,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",8,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,Don't know,Yes,Not confident,NA,218
2021-05-20T17:52:05Z,Yes,25-30,Female,Health Education Wessex,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219
2021-05-20T17:52:45Z,Yes,25-30,Female,Health Education West Midlands,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",No,Yes,Not confident,NA,220
2021-05-20T17:53:30Z,Yes,31-35,Male,Health Education East of England,"Non-training Fellow, SAS or other Trust-Grade post",7,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",No,Yes,Not sure,NA,221
2021-05-20T17:53:34Z,Yes,36-40,Male,NHS Education for Scotland,LAT ST3,3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Work abroad",Don't know,No,Not confident,"The oversubscription is a predictable problem and it is only going to get worse. I feel the move to allow applicants to apply without full Primary FRCA was a mistake. Even if this has to be allowed, applicants who have achieved full Primary FRCA should have been given priority or additional points in self assessment. This change has meant an increase in number of applicants who would otherwise not have been eligible, hence inflating the competition ratio. This also means that applicants who have not achieved full Primary FRCA may now move on to an ST training post, with no guarantee that they will be successful  in passing the OSCE/SOE in the coming year. By the end of 2021-22 training year there will certainly be a group of ST3s who failed to achieve Primary FRCA but are in a training job, and a group of LAT/LAS/CDF who have already achieved the basic requirements but are out of a training job. This is unacceptable. I have been unsuccessful two years in a row and I have worked hard to improve my CV to improve my chances this year but unfortunately still unsuccessful. Based on all the feedback that I have got, and the fact that I have passed the full Primary FRCA since 2019, I am confident that I am a trainee that my consultants would vouch for, and that I do deserve to train in this specialty. Having been unsuccessful twice now, I see this as a failure of the recruitment system and I am not sure how much more I could do to mould myself to fit into this failed system in order to be successful in my future applications.",222
2021-05-20T17:55:50Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Last year CV positive people got jobs ahead of people who had not had same opportunities to progress their CV. Not to say those who had a job didn't deserve it, but the whole picture has to be considered not just how many publications or international events one has attended. 
Eg how many OOH emergencies have you done alone, how much of your time is been spent clinical vs at conferences, can you talk through anaesthetic emergencies, ingratiate yourself into a department?  More to an anaesthetist than publications etc and the emphasis has been on this for some time. It's punitive. 
This year after all the COVID and redeployment, prolongation, personal risk and detriment to our training experience, many junior anaesthetists have not achieved jobs in their ideal locations and are very disillusioned. Could the change to curriculum and recruitment not have waited?",223
2021-05-20T17:58:42Z,Yes,25-30,Male,Health Education London,Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Yes,Yes,Not sure,"Unable to plan family, accommodation, nursery and school waiting lists",224
2021-05-20T17:59:30Z,Yes,25-30,Male,Health Education North West (Mersey & North Western),Anaesthetic Core Trainee,4,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Don't know,Yes,Not sure,"General feeling of being unappreciated, let down and abandoned.
The college should have prioritised current trainees and smoothed the process into ST3 if they are adamant with pushing forward with curriculum changes.
Instead, the circumstances were set up to favour those out of training who have been able to CV build while us trainees have been redeployed to ICU and spent 18 months dealing with Covid.

How does someone complete core training, plus additional ACCS experience, take part in audit, research, exams and generally complete all requirements without issue and excellent feedback, only to be left jobless and in a position that massively impacts maternity/ paternity leave, pay, job security and career progression?

Beyond insulting it's extremely stressful and disheartening, particularly when this looks unlikely to improve for potentially at least two years to come.
Am I expected to continue putting in this enormous level of effort and time, step up for an inevitable further wave of Covid, only to be unsuccessful again in February?

In that situation I would be seriously reconsidering my career choices.",226
2021-05-20T18:00:13Z,Yes,25-30,Male,Health Education London,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,No,NA,NA,NA,Wanted to take a break from training,Yes,No,No,"ICM ST3 post, Career break",Don't know,No,Not sure,"There should have been an obligation/ incentive for deaneries to offer their Core CT2s/ ACCS CT3s a top-up year, with safeguards in place that these will meet the required curriculum objectives and provide trainees access to teaching, study leave etc. While some deaneries have taken this initiative, the demand exceeds the supply of these posts and I'm not sure what assurances are in place to prevent these jobs from becoming pure service provision at the expense of training.",227
2021-05-20T18:01:10Z,Yes,25-30,Female,Health Education and Improvement Wales,"Not currently in contracted employment, or currently a locum",4,"Not currently contracted, or working as a locum",Yes,No,NA,NA,NA,NA,NA,NA,"Non-training fellow post, Work abroad",Yes,No,Not confident,NA,228
2021-05-20T18:01:10Z,Yes,25-30,Female,Health Education Wessex,Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",No,Yes,Not confident,NA,229
2021-05-20T18:01:11Z,Yes,25-30,Female,Health Education West Midlands,"Non-training Fellow, SAS or other Trust-Grade post",5,Full-time,No,NA,NA,NA,"Awareness of increased competition ratios and/or reduced CV opportunities during COVID, Missed application window. Stressed/overwhelmed with COVID and exams",No,No,Yes,Specialty Doctor role,Yes,No,Not sure,NA,230
2021-05-20T18:01:18Z,Yes,25-30,Male,Health Education Yorkshire and the Humber,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Work abroad",No,Yes,Not confident,"With the additional stress of the curriculum change, if my wife (also an ACCS anaesthetics CT3) and I don't get a training post starting February 2022 we will have to significantly delay/alter many life plans and goals which adds greatly and unnecessarily to our stress levels. I wish the college would delay the curriculum change and it only compounds issues with anaesthetic recruitment.",231
2021-05-20T18:02:08Z,Yes,25-30,Male,Health Education West Midlands,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,No,Yes,Not confident,"This has been mismanaged from the start - trainees were not told they were going to change curriculums when initially accepting SHO posts (2018 ACCS Start). Then they were told the change in curriculum would be accompanied by guaranteed CT3 posts. Then the curriculum change was delayed and this took away the CT3 posts from the 2019 Novices. If the curriculum start can be moved, why can't this employment support? 

Why can't there be an ST4 entry in August 2022 meaning no time has to be 'wasted' for those unable to get into an ST3 post this year?",232
2021-05-20T18:04:49Z,Yes,31-35,Female,Health Education and Improvement Wales,"Non-training Fellow, SAS or other Trust-Grade post",5,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,Yes,Yes,Confident,"I have great concerns about ST4 recruitment 2023 - I will be one of those applying with 7 years of experience under my belt, alongside current novices, CT2s and CT3s who will by then be eligible. The numbers looks even worse than it was this year. Might a separate recruitment process into ST5 in 2023 be a solution, so long as it had strict eligibility criteria?
I have further concerns about the logistics that fellows now face when trying to evidence experience - LLP hasn't been updated to the new curriculum, so there isn't currently a way to properly log stage 1 top-up competencies or further competencies for those considering the cesr route.",233
2021-05-20T18:06:05Z,Yes,25-30,Male,"Health Education Kent, Surrey & Sussex",Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Work abroad",Don't know,No,Not confident,"Considerable number of people missing out on training posts will roll over to the next application, combined with increased number at core training level makes for further competition. Concerned I won't be able to progress despite passing the primary and completing competencies",234
2021-05-20T18:06:45Z,Yes,25-30,Male,Health Education South West (Peninsula & Severn),"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235
2021-05-20T18:06:48Z,Yes,31-35,Male,Health Education West Midlands,Anaesthetic Core Trainee,3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236
2021-05-20T18:08:10Z,Yes,25-30,Male,Health Education North West (Mersey & North Western),Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",No,Yes,Confident,"Passed exams early yet not taken into account for points when applying. I thought one of the main reasons for the curriculum change was to allow more time for trainees to pass exams yet disadvantaged having passed all the exams, with time spent revising rather than enhancing application strength. Also the change of working contract from CT2 to CT3 then back to CT2 was not helpful. Still not released the cc three top up portfolio section on lifelong learning platform either.",237
2021-05-20T18:09:31Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,We have a major and growing shortage of anaesthetists. I don't consider the RCoA has done enough to lobby the DoH to establish additional ST training places. The pandemic has demonstrated just how fundamental anaesthetic skills are.,238
2021-05-20T18:09:31Z,Yes,25-30,Female,Health Education London,Intensive Care Medicine Trainee,3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"Pursue training in a different specialty - specify below, ICU ST4",No,Yes,Not confident,"Very unhappy that training numbers were reduced after the year that we've had! 
None of my colleagues got a London job either. I'm considering leaving anaesthetics and pursing single speciality ICM training. 
Awful timing to change the syllabus.
It was very unclear from the interview what domains were being assessed and difficult to prep for.",239
2021-05-20T18:15:42Z,Yes,31-35,Male,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240
2021-05-20T18:17:32Z,Yes,36-40,Male,Health Education East of England,"Non-training Fellow, SAS or other Trust-Grade post",8,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,Don't know,Yes,Not sure,NA,241
2021-05-20T18:19:02Z,Yes,36-40,Male,Health Education North West (Mersey & North Western),"Non-training Fellow, SAS or other Trust-Grade post",7,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"Non-training fellow post, ICM ST3 post, Pursue training in a different specialty - specify below",Don't know,Yes,Not sure,NA,242
2021-05-20T18:19:05Z,Yes,25-30,Female,Health Education North West (Mersey & North Western),Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,ICM ST3 post,Yes,Yes,Not confident,Large bottleneck of applicants and not enough posts available.. Concerned as someone who has passed the exam that this was no longer a requirement. I feel that I've given all my time to my career and the covid pandemic in the last 18 months only to be overlooked as a credible ST3 colleague due to shortfalls in the interview process and planning for what a change in the curriculum might look like as we are coming out of a pandemic.,243
2021-05-20T18:20:12Z,Yes,25-30,Female,Health Education London,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,No,NA,NA,NA,"Wanted to take a break from training, Wanted to pursue other interests or opportunities, e.g. research or management, etc.",Yes,No,No,"Work abroad, Career break, Permanently leaving the medical profession",No,Yes,Not confident,NA,244
2021-05-20T18:20:43Z,Yes,25-30,Male,Health Education West Midlands,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245
2021-05-20T18:21:13Z,Yes,31-35,Male,Health Education and Improvement Wales,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,No,NA,NA,NA,"Lack of core experience due to the COVID-19 pandemic, Awareness of increased competition ratios and/or reduced CV opportunities during COVID, Applied for FICM as a 'dry run'",Yes,Yes,No,CT3 top-up post,No,No,Not confident,NA,246
2021-05-20T18:21:18Z,Yes,25-30,Female,Health Education and Improvement Wales,Anaesthetic Core Trainee,3,Full-time,No,NA,NA,NA,Wanted to take a break from training,Yes,Yes,No,Work abroad,Yes,Don't know,Not confident,NA,247
2021-05-20T18:22:32Z,Yes,31-35,Female,Health Education and Improvement Wales,Anaesthetic Core Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I had a lot of anxiety surrounding this application process. As a female trainee trying to plan a family in the next 2 years the chance of not getting a job would potentially mean that much more uncertainty in relation to maternity pay/ leave/ return to work support etc and made me feel very unsure and exposed. Luckily I did get a job, though not until one of the final rounds, however I suspect there will be many in this position.",248
2021-05-20T18:23:51Z,Yes,31-35,Male,Health Education South West (Peninsula & Severn),"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,No,NA,NA,NA,"Wanted to take a break from training, Applications opened almost immediately after primary VIVA and was too exhausted to launch straight in to all of the preparation required",Yes,Yes,No,"CT3 top-up post, Non-training fellow post",Yes,No,Not confident,"The key concern for me is the lack of training post availability more than the curriculum change. It is nonsensical to take trainees on through core training and not have enough speciality training posts for them all, especially given the shortages seen in most hospitals on both the registrar and consultant rotas. This problem is longer standing than simply the impact of the new curriculum, and has to change. More speciality training posts must be made available through HEE in order to ensure that the efforts to train CT's are not wasted and the anaesthetic workforce continues to be adequately staffed into the future.",249
2021-05-20T18:26:44Z,Yes,25-30,Female,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I feel upset with the whole process. Although I did get a job, I think that so many have been left behind and it is extremely unfair. The cohort of doctors applying for ST3 have had so many changes affect them, and I feel so disappointed in the College that is supposed to look after us. What has happened this year shouldn't have come as a surprise - we all knew the curriculum change would create a bottleneck so I am saddened that this has been allowed to happen, with no provision for those who missed out. 
I understand the huge challenges that the RCOA has been under the last year, but surely safeguarding and looking after the workforce should be prioritised, especially when we have been so encouraged to look after ourselves. All the well-being messages feel very empty when really what people want is job security. when you are made to reapply through a highly competitive process (plus the primary, all the modules etc) you've already been through two years earlier, and at the end don't get a job no amount of well-being initiatives from the RCOA is going to help. 

I didn't get an ST3 job last year and felt ignored and forgotten about by the college. There is was no information or support for people in my position (this is something the AAGBI could make and would have been very welcome!)",250
2021-05-20T18:28:31Z,Yes,25-30,Male,Health Education North East,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,No,Yes,Not confident,NA,251
2021-05-20T18:29:07Z,Yes,31-35,Prefer not to say,Health Education West Midlands,"Non-training Fellow, SAS or other Trust-Grade post",5,LTFT,Yes,No,NA,NA,NA,NA,NA,NA,"Pursue training in a different specialty - specify below, Permanently leaving the medical profession, General practice",Don't know,Yes,Not sure,Very probable that many applicants will be leaving the profession due to highly stressful workloads particularly during the pandemic and poor job security trying to go through 1 year top up posts. Absolutely poor response by the government who has capitalised on the good will and sacrifices of trainees and non-training grade anaesthetists during the covid pandemic. The general consensus talking to other colleagues suggests working in the nhs is not worth the stress and effort. An employer who has no understanding of service requirements and how to retain hard working staff.,252
2021-05-20T18:29:43Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I really feel for the unsuccessful applicants and also worry about the knock on effect of this. Will we have the same issue next year, further exacerbated by those previously unsuccessful also applying again? If this is no longer a secure career path then I would like to know sooner rather than later in order to make an informed decision about continuing.",253
2021-05-20T18:30:22Z,Yes,25-30,Female,Health Education and Improvement Wales,Anaesthetic Core Trainee,2,Full-time,No,NA,NA,NA,CT3 year,Yes,No,Yes,"Non-training fellow post, Career break",Don't know,Yes,Not confident,NA,254
2021-05-20T18:33:05Z,Yes,25-30,Female,Health Education London,Anaesthetic Core Trainee,6,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Due to threat of being with no training job for 2 years, I felt I had to apply and accept post. It's particularly discriminatory to women wanting to start a family, who then face uncertainty for 2 years.",255
2021-05-20T18:33:17Z,Yes,25-30,Female,Health Education and Improvement Wales,Anaesthetic Core Trainee,3,Full-time,No,NA,NA,NA,Wanted to take a break from training,Yes,Yes,No,Work abroad,Yes,Don't know,Not confident,NA,256
2021-05-20T18:36:45Z,Yes,25-30,Female,"Health Education Kent, Surrey & Sussex","Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Career break, Permanently leaving the medical profession",Don't know,Yes,Not confident,"I generally feel there has been a complete lack of planning for this situation. Applications for ST3 recruitment closed in December 2020 so it must have been known for almost 5 months exactly how many trainees would be affected by these changes and the systems have not been put in place to support the significant numbers now stuck in between curriculums. This is only now gaining traction because the numbers involved have been released publicly and anger from those involved is growing. 

It is not clear if there will be enough CT3 equivalent jobs to go around and it is not looking as though the competition ratios will be any better when it comes to applying for ST4. It may well be more than another 2 years to wait to get a training number. It has also been said that CT3 equivalent posts cannot be guaranteed in the area in which you currently work. Particularly after the pandemic, I am not willing to uproot my life to another part of the country to take up a CT3 equivalent clinical fellow post which has absolutely no guarantee of leading to a training number at the end of it.

On a more general recruitment note, this is now the 3rd round of national recruitment I have been involved in since I graduated. Every few years we are expected to be open to moving house, county, or even country to take up coveted training numbers. I don't know of any other professional career that recruits in this way, which essentially amounts to a geographical lottery, and frequently separates families and support networks. 

Until this point of my career I had never considered moving abroad or leaving medicine. I love my job, but the lack of control we have over our own careers and personal lives when working within medicine in this country has lead me to seriously consider other options now.",257
